TGFA	EGFR
EGFR	RAF
EGFR	PI3K
RAF	MEK
MEK	ERK
ERK	EGFR
ERK	RAF
ERK	GSK3AB
ERK	P70S6K
ERK	IRS1
P70S6K	IRS1
IGF	IGFR
IGFR	RAF
IGFR	PI3K
PI3K	AKT
AKT	GSK3AB
AKT	P70S6K
AKT	IRS1
